#lambda lambda_nm X1.0 X1.1 X1.2 X1.3 X1.5 X1.7 X2.0 X2.5 X3.0
0.31918870299999996 319.188703 323.201 339.536 353.744 366.314 385.727 399.381 412.29 419.644 418.088
0.31950805200000004 319.508052 311.948 327.568 341.14 353.234 371.774 384.841 397.486 405.313 405.029
0.31982772 319.82772 321.379 337.486 351.49 363.961 383.115 396.629 409.658 417.567 416.905
0.320147707 320.147707 326.528 343.032 357.423 370.314 390.216 404.45 418.59 428.223 429.134
0.320468015 320.468015 354.254 372.552 388.586 402.898 425.354 441.614 457.801 469.045 469.946
0.320788643 320.788643 362.033 381.019 397.707 412.582 436.143 453.34 470.528 482.757 483.977
0.321109593 321.109593 414.781 436.161 454.611 470.625 494.967 511.233 524.699 527.695 519.138
0.321430863 321.430863 390.94 411.179 428.688 443.929 467.236 483.002 496.422 500.48 493.512
0.321752454 321.752454 365.382 384.445 401.032 415.573 438.114 453.778 467.883 474.276 469.925
0.322074368 322.074368 338.827 356.159 371.19 384.449 404.739 418.77 431.634 437.954 435.159
0.322396603 322.396603 346.279 364.055 379.473 393.027 413.812 428.141 441.058 446.852 443.031
0.322719161 322.719161 314.33 330.771 345.194 358.064 378.31 392.993 407.618 417.875 418.923
0.323042042 323.042042 329.173 346.585 361.867 375.441 396.864 412.34 427.446 437.34 437.15
0.323365245 323.365245 333.858 351.909 367.848 382.009 404.746 421.484 438.151 450.031 450.974
0.32368877199999996 323.688772 348.81 367.846 384.663 399.558 423.541 441.166 458.534 470.531 470.815
0.324012623 324.012623 359.0 378.732 396.218 411.752 436.942 455.673 474.495 488.402 489.994
0.324336798 324.336798 361.806 381.729 399.421 415.204 440.887 460.163 479.93 495.464 498.602
0.324661297 324.661297 368.605 388.809 406.745 422.802 448.83 468.364 488.488 504.341 507.6
0.32498612000000004 324.98612 366.442 386.453 404.222 420.19 446.049 465.545 485.978 502.884 507.699
0.32531126899999996 325.311269 391.899 413.595 432.924 450.282 478.663 500.248 522.988 542.167 547.775
0.325636743 325.636743 404.971 427.581 447.773 465.952 495.831 518.747 543.218 564.662 571.927
0.325962543 325.962543 441.444 466.288 488.463 508.338 541.029 565.969 592.184 614.292 620.584
0.32628866799999995 326.288668 476.034 503.034 527.124 548.642 584.058 610.968 638.905 661.744 667.224
0.32661512 326.61512 484.168 511.889 536.715 558.958 595.89 624.315 654.395 680.388 688.293
0.32694189799999995 326.941898 474.89 502.149 526.596 548.534 585.062 613.309 643.43 669.966 678.611
0.327269004 327.269004 467.193 493.894 517.792 539.239 574.741 602.03 630.971 656.045 663.915
0.32759643699999996 327.596437 460.143 486.503 510.127 531.35 566.581 593.771 622.764 648.224 656.532
0.327924197 327.924197 423.925 448.177 469.971 489.704 522.546 548.203 576.343 602.723 613.576
0.328252285 328.252285 449.264 474.811 497.622 518.097 551.734 577.378 604.337 626.996 633.428
0.32858070199999995 328.580702 437.505 462.848 485.643 506.197 540.572 567.408 596.533 623.296 633.405
0.328909447 328.909447 479.641 507.612 532.743 555.316 593.024 622.279 653.564 681.332 690.584
0.329238521 329.238521 483.631 512.15 537.927 561.211 600.628 631.836 666.254 699.287 713.111
0.329567924 329.567924 528.91 560.12 588.229 613.501 655.958 689.113 724.838 757.221 768.676
0.32989765699999996 329.897657 531.109 562.489 590.724 616.081 658.588 691.653 727.036 758.532 769.001
