# METIS IMG-LM detector QE (Hawaii2rg)
# wavelength               QE 
#
# FILE HISTORY
#    original name of this file: METIS_IMG_LM_QE.csv
#    received from Roy on 24 May 2018; it is the same file as used in Roy's fluxes document
# 
#   [micron]  [dimensionless] 
   4.8117558        0.7092629
   4.8438265        0.7111118
   4.8761110        0.7181477
   4.9086106        0.7253279
   4.9413269        0.7320074
   4.9742612        0.7306861
   5.0074151        0.7210921
   5.0407899        0.7008645
   5.0743871        0.6684147
   5.1082083        0.6309833
   5.1422549        0.5871962
   5.1765284        0.5235225
   5.2110303        0.4367378
   5.2457623        0.3274580
   5.2807257        0.1977468
   5.3159221        0.0966977
   5.3513531        0.0329913
   5.3870203        0.0144958
   5.4229252        0.0087425
   5.4590694        0.0057337
   5.4954545        0.0044211
   5.5320821        0.0000000
   5.5689539        0.0000000
   5.6060714        0.0000000
