#  "Mp" from Roys wish filter list, July 2018
# Wavelength  Throughput
#   [micron]  [dim-less]
      4.6550      0.8600
      4.6560      0.8600
      4.6570      0.8600
      4.6579      0.8600
      4.6589      0.8600
      4.6599      0.8600
      4.6608      0.8600
      4.6618      0.8600
      4.6628      0.8600
      4.6637      0.8600
      4.6647      0.8600
      4.6657      0.8600
      4.6666      0.8600
      4.6676      0.8600
      4.6686      0.8600
      4.6696      0.8600
      4.6705      0.8601
      4.6715      0.8603
      4.6725      0.8605
      4.6734      0.8607
      4.6744      0.8609
      4.6754      0.8611
      4.6763      0.8613
      4.6773      0.8615
      4.6783      0.8617
      4.6793      0.8619
      4.6802      0.8620
      4.6812      0.8622
      4.6822      0.8624
      4.6831      0.8626
      4.6841      0.8628
      4.6851      0.8630
      4.6861      0.8632
      4.6870      0.8634
      4.6880      0.8636
      4.6890      0.8638
      4.6900      0.8640
      4.6909      0.8642
      4.6919      0.8644
      4.6929      0.8646
      4.6938      0.8648
      4.6948      0.8650
      4.6958      0.8652
      4.6968      0.8654
      4.6977      0.8655
      4.6987      0.8657
      4.6997      0.8659
      4.7007      0.8661
      4.7017      0.8663
      4.7026      0.8665
      4.7036      0.8667
      4.7046      0.8669
      4.7056      0.8671
      4.7065      0.8673
      4.7075      0.8675
      4.7085      0.8677
      4.7095      0.8679
      4.7104      0.8681
      4.7114      0.8683
      4.7124      0.8685
      4.7134      0.8687
      4.7144      0.8689
      4.7153      0.8691
      4.7163      0.8693
      4.7173      0.8695
      4.7183      0.8697
      4.7193      0.8699
      4.7202      0.8701
      4.7212      0.8703
      4.7222      0.8705
      4.7232      0.8708
      4.7242      0.8710
      4.7251      0.8713
      4.7261      0.8715
      4.7271      0.8718
      4.7281      0.8720
      4.7291      0.8723
      4.7300      0.8725
      4.7310      0.8728
      4.7320      0.8730
      4.7330      0.8732
      4.7340      0.8735
      4.7350      0.8737
      4.7359      0.8740
      4.7369      0.8742
      4.7379      0.8745
      4.7389      0.8747
      4.7399      0.8750
      4.7409      0.8752
      4.7418      0.8755
      4.7428      0.8757
      4.7438      0.8760
      4.7448      0.8762
      4.7458      0.8764
      4.7468      0.8767
      4.7477      0.8769
      4.7487      0.8772
      4.7497      0.8774
      4.7507      0.8777
      4.7517      0.8779
      4.7527      0.8782
      4.7537      0.8784
      4.7547      0.8787
      4.7556      0.8789
      4.7566      0.8792
      4.7576      0.8794
      4.7586      0.8797
      4.7596      0.8799
      4.7606      0.8801
      4.7616      0.8803
      4.7626      0.8805
      4.7635      0.8807
      4.7645      0.8809
      4.7655      0.8811
      4.7665      0.8813
      4.7675      0.8815
      4.7685      0.8817
      4.7695      0.8819
      4.7705      0.8821
      4.7715      0.8823
      4.7725      0.8825
      4.7734      0.8827
      4.7744      0.8829
      4.7754      0.8831
      4.7764      0.8833
      4.7774      0.8835
      4.7784      0.8837
      4.7794      0.8839
      4.7804      0.8841
      4.7814      0.8843
      4.7824      0.8845
      4.7834      0.8847
      4.7844      0.8849
      4.7853      0.8851
      4.7863      0.8853
      4.7873      0.8855
      4.7883      0.8857
      4.7893      0.8859
      4.7903      0.8861
      4.7913      0.8863
      4.7923      0.8865
      4.7933      0.8867
      4.7943      0.8869
      4.7953      0.8871
      4.7963      0.8873
      4.7973      0.8875
      4.7983      0.8877
      4.7993      0.8879
      4.8003      0.8881
      4.8013      0.8883
      4.8023      0.8885
      4.8033      0.8887
      4.8043      0.8889
      4.8053      0.8891
      4.8063      0.8893
      4.8073      0.8895
      4.8083      0.8897
      4.8093      0.8899
      4.8102      0.8901
      4.8112      0.8903
      4.8122      0.8906
      4.8132      0.8908
      4.8142      0.8911
      4.8152      0.8913
      4.8162      0.8916
      4.8172      0.8918
      4.8182      0.8921
      4.8192      0.8923
      4.8202      0.8926
      4.8212      0.8928
      4.8222      0.8931
      4.8232      0.8933
      4.8242      0.8936
      4.8253      0.8938
      4.8263      0.8941
      4.8273      0.8943
      4.8283      0.8946
      4.8293      0.8948
      4.8303      0.8951
      4.8313      0.8953
      4.8323      0.8956
      4.8333      0.8958
      4.8343      0.8961
      4.8353      0.8963
      4.8363      0.8966
      4.8373      0.8968
      4.8383      0.8971
      4.8393      0.8973
      4.8403      0.8976
      4.8413      0.8978
      4.8423      0.8981
      4.8433      0.8983
      4.8443      0.8986
      4.8453      0.8988
      4.8463      0.8991
      4.8473      0.8993
      4.8483      0.8996
      4.8494      0.8998
      4.8504      0.9000
      4.8514      0.9000
      4.8524      0.9000
      4.8534      0.9000
      4.8544      0.9000
      4.8554      0.9000
      4.8564      0.9000
      4.8574      0.9000
      4.8584      0.9000
      4.8594      0.9000
      4.8604      0.9000
      4.8614      0.9000
      4.8625      0.9000
      4.8635      0.9000
      4.8645      0.9000
      4.8655      0.9000
      4.8665      0.9000
      4.8675      0.9000
      4.8685      0.9000
      4.8695      0.9000
      4.8705      0.9000
      4.8715      0.9000
      4.8726      0.9000
      4.8736      0.9000
      4.8746      0.9000
      4.8756      0.9000
      4.8766      0.9000
