## Oliver Czoske et al METIS Sim Meeting Vienna 2018-04-03
## Changes:
##     2018-04-03
## METIS H2RG-18 FPA
   id   x_cen  y_cen     xhw     yhw  x_len  y_len  pixsize  angle    gain
#          mm     mm      mm      mm    pix    pix       mm    deg  e-/ADU
    1    0.00   0.00  18.432  18.432   2048   2048    0.018    0.0     1.0
