# METIS IMG-NQ detector QE (Aquarius)
# received from Roy as METIS_IMG_NQ_QE.csv on 25 May 2018 (unpublished lab measurement of the MIRI team)
#
# wavelength               QE 
#   [micron]  [dimensionless] 
   4.8761110        0.4309322
   4.9086106        0.4342740
   4.9413269        0.4376382
   4.9742612        0.4411252
   5.0074151        0.4448422
   5.0407899        0.4485840
   5.0743871        0.4523508
   5.1082083        0.4561426
   5.1422549        0.4599597
   5.1765284        0.4638023
   5.2110303        0.4676704
   5.2457623        0.4722862
   5.2807257        0.4793207
   5.3159221        0.4864021
   5.3513531        0.4935308
   5.3870203        0.5007069
   5.4229252        0.5063419
   5.4590694        0.5108443
   5.4954545        0.5153766
   5.5320821        0.5199392
   5.5689539        0.5245322
   5.6060714        0.5291558
   5.6434363        0.5338102
   5.6810502        0.5380208
   5.7189148        0.5421767
   5.7570318        0.5463603
   5.7954029        0.5505718
   5.8340297        0.5548113
   5.8729139        0.5590791
   5.9120574        0.5633753
   5.9514617        0.5676809
   5.9911286        0.5711022
   6.0310599        0.5745464
   6.0712574        0.5780135
   6.1117228        0.5815037
   6.1524579        0.5850172
   6.1934645        0.5883014
   6.2347444        0.5914169
   6.2762995        0.5945531
   6.3181315        0.5977102
   6.3602423        0.6008884
   6.4026338        0.6032524
   6.4453078        0.6037796
   6.4882663        0.6043102
   6.5315111        0.6048444
   6.5750441        0.6053821
   6.6188673        0.6028335
   6.6629825        0.5997452
   6.7073918        0.5966363
   6.7520971        0.5935066
   6.7971003        0.5903561
   6.8424035        0.5871101
   6.8880086        0.5838359
   6.9339177        0.5805399
   6.9801328        0.5787555
   7.0266559        0.5802158
   7.0734891        0.5816858
   7.1206345        0.5831656
   7.1680941        0.5846553
   7.2158699        0.5861549
   7.2639643        0.5876645
   7.3123791        0.5902532
   7.3611167        0.5929288
   7.4101791        0.5956222
   7.4595685        0.5983336
   7.5092871        0.6010630
   7.5593371        0.6038107
   7.6097206        0.6075124
   7.6604400        0.6114498
   7.7114974        0.6152752
   7.7628951        0.6180466
   7.8146354        0.6208365
   7.8667205        0.6236449
   7.9191528        0.6264721
   7.9719346        0.6293181
   8.0250681        0.6321831
   8.0785558        0.6345948
   8.1324000        0.6369179
   8.1866031        0.6392565
   8.2411674        0.6416106
   8.2960954        0.6436787
   8.3513895        0.6456671
   8.4070522        0.6476686
   8.4630858        0.6496835
   8.5194929        0.6517119
   8.5762760        0.6537537
   8.6334375        0.6533374
   8.6909800        0.6525765
   8.7489061        0.6518105
   8.8072182        0.6510395
   8.8659190        0.6502632
   8.9250110        0.6494818
   8.9844969        0.6482493
   9.0443792        0.6468618
   9.1046607        0.6454651
   9.1653439        0.6440590
   9.2264316        0.6426436
   9.2879265        0.6412188
   9.3498312        0.6397683
   9.4121486        0.6383056
   9.4748813        0.6368333
   9.5380321        0.6353511
   9.6016038        0.6338441
   9.6655992        0.6320913
   9.7300211        0.6303267
   9.7948725        0.6285504
   9.8601560        0.6267623
   9.9258747        0.6267225
   9.9920314        0.6293174
  10.0586291        0.6319297
  10.1256706        0.6345593
  10.1931590        0.6372065
  10.2610971        0.6390288
  10.3294881        0.6407509
  10.3983350        0.6424845
  10.4676407        0.6442297
  10.5374083        0.6452725
  10.6076409        0.6400839
  10.6783416        0.6348607
  10.7495136        0.6290698
  10.8211599        0.6223840
  10.8932838        0.6158627
  10.9658883        0.6113933
  11.0389768        0.6068941
  11.1125524        0.6025537
  11.1866184        0.5984061
  11.2611781        0.5942308
  11.3362347        0.5900277
  11.4117916        0.5888712
  11.4878520        0.5885763
  11.5644194        0.5882794
  11.6414971        0.5879804
  11.7190886        0.5881065
  11.7971972        0.5883200
  11.8758264        0.5885349
  11.9549797        0.5887512
  12.0346606        0.5889690
  12.1148725        0.5883827
  12.1956190        0.5856024
  12.2769038        0.5828035
  12.3587303        0.5799860
  12.4411021        0.5790919
  12.5240230        0.5784249
  12.6074966        0.5777534
  12.6915265        0.5770775
  12.7761165        0.5763970
  12.8612703        0.5777398
  12.9469916        0.5802067
  13.0332843        0.5768460
  13.1201521        0.5712342
  13.2075989        0.5655850
  13.2956286        0.5598981
  13.3842450        0.5540453
  13.4734520        0.5478958
  13.5632536        0.5515621
  13.6536537        0.5578008
  13.7446563        0.5640811
  13.8362655        0.5721205
  13.9284852        0.5807387
  14.0213196        0.5874551
  14.1147728        0.5941725
  14.2088488        0.6031996
  14.3035519        0.6218555
  14.3988862        0.6321008
  14.4948558        0.6326561
  14.5914651        0.6332151
  14.6887184        0.6337779
  14.7866198        0.6337922
  14.8851737        0.6327341
  14.9843845        0.6316690
  15.0842566        0.6305967
  15.1847943        0.6295174
  15.2860021        0.6267420
  15.3878845        0.6238177
  15.4904459        0.6208740
  15.5936909        0.6154739
  15.6976240        0.6090067
  15.8022499        0.6027853
  15.9075731        0.5971149
  16.0135983        0.5926773
  16.1203301        0.5920683
  16.2277733        0.5914552
  16.3359327        0.5908380
  16.4448129        0.5918648
  16.5544188        0.5951397
  16.6647553        0.5984365
  16.7758271        0.6014928
  16.8876393        0.6034246
  17.0001967        0.6053692
