#  "Lp" from Roys wish filter list, July 2018
# Wavelength  Throughput
#   [micron]  [dim-less]
      3.6053      0.9253
      3.6060      0.9260
      3.6068      0.9268
      3.6075      0.9275
      3.6083      0.9283
      3.6090      0.9290
      3.6098      0.9298
      3.6105      0.9305
      3.6113      0.9313
      3.6120      0.9320
      3.6128      0.9328
      3.6135      0.9335
      3.6143      0.9343
      3.6150      0.9350
      3.6158      0.9358
      3.6165      0.9365
      3.6173      0.9373
      3.6180      0.9380
      3.6188      0.9388
      3.6195      0.9395
      3.6203      0.9400
      3.6210      0.9400
      3.6218      0.9400
      3.6225      0.9400
      3.6233      0.9400
      3.6241      0.9400
      3.6248      0.9400
      3.6256      0.9400
      3.6263      0.9400
      3.6271      0.9400
      3.6278      0.9400
      3.6286      0.9400
      3.6293      0.9400
      3.6301      0.9400
      3.6308      0.9400
      3.6316      0.9400
      3.6323      0.9400
      3.6331      0.9400
      3.6338      0.9400
      3.6346      0.9400
      3.6354      0.9400
      3.6361      0.9400
      3.6369      0.9400
      3.6376      0.9400
      3.6384      0.9400
      3.6391      0.9400
      3.6399      0.9400
      3.6406      0.9400
      3.6414      0.9400
      3.6422      0.9400
      3.6429      0.9400
      3.6437      0.9400
      3.6444      0.9400
      3.6452      0.9400
      3.6459      0.9400
      3.6467      0.9400
      3.6474      0.9400
      3.6482      0.9400
      3.6490      0.9400
      3.6497      0.9400
      3.6505      0.9402
      3.6512      0.9404
      3.6520      0.9407
      3.6528      0.9409
      3.6535      0.9412
      3.6543      0.9414
      3.6550      0.9417
      3.6558      0.9419
      3.6565      0.9422
      3.6573      0.9424
      3.6581      0.9427
      3.6588      0.9429
      3.6596      0.9432
      3.6603      0.9434
      3.6611      0.9437
      3.6619      0.9440
      3.6626      0.9442
      3.6634      0.9445
      3.6641      0.9447
      3.6649      0.9450
      3.6657      0.9452
      3.6664      0.9455
      3.6672      0.9457
      3.6679      0.9460
      3.6687      0.9462
      3.6695      0.9465
      3.6702      0.9467
      3.6710      0.9470
      3.6718      0.9473
      3.6725      0.9475
      3.6733      0.9478
      3.6740      0.9480
      3.6748      0.9483
      3.6756      0.9485
      3.6763      0.9488
      3.6771      0.9490
      3.6779      0.9493
      3.6786      0.9495
      3.6794      0.9498
      3.6802      0.9500
      3.6809      0.9500
      3.6817      0.9500
      3.6824      0.9500
      3.6832      0.9500
      3.6840      0.9500
      3.6847      0.9500
      3.6855      0.9500
      3.6863      0.9500
      3.6870      0.9500
      3.6878      0.9500
      3.6886      0.9500
      3.6893      0.9500
      3.6901      0.9500
      3.6909      0.9500
      3.6916      0.9500
      3.6924      0.9500
      3.6932      0.9500
      3.6939      0.9500
      3.6947      0.9500
      3.6955      0.9500
      3.6962      0.9500
      3.6970      0.9500
      3.6978      0.9500
      3.6985      0.9500
      3.6993      0.9500
      3.7001      0.9500
      3.7008      0.9497
      3.7016      0.9495
      3.7024      0.9492
      3.7031      0.9490
      3.7039      0.9487
      3.7047      0.9484
      3.7055      0.9482
      3.7062      0.9479
      3.7070      0.9477
      3.7078      0.9474
      3.7085      0.9472
      3.7093      0.9469
      3.7101      0.9466
      3.7108      0.9464
      3.7116      0.9461
      3.7124      0.9459
      3.7132      0.9456
      3.7139      0.9454
      3.7147      0.9451
      3.7155      0.9448
      3.7162      0.9446
      3.7170      0.9443
      3.7178      0.9441
      3.7186      0.9438
      3.7193      0.9436
      3.7201      0.9433
      3.7209      0.9430
      3.7216      0.9428
      3.7224      0.9425
      3.7232      0.9423
      3.7240      0.9420
      3.7247      0.9418
      3.7255      0.9415
      3.7263      0.9412
      3.7271      0.9410
      3.7278      0.9407
      3.7286      0.9405
      3.7294      0.9402
