# METIS WFS dichroic (ZnSe), at ca. 60 K (TBC)
# received from Roy as METIS_CFO_WDS_dichroic.csv on 25 May 2018
#
# wavelength     transmission       emissivity
#   [micron]  [dimensionless]  [dimensionless]
   2.9431570        0.8989471        0.0012149
   2.9627734        0.9048320        0.0012017
   2.9825205        0.9110082        0.0011887
   3.0023992        0.9177198        0.0011759
   3.0224105        0.9234821        0.0011632
   3.0425551        0.9275110        0.0011506
   3.0628339        0.9302834        0.0011382
   3.0832479        0.9310000        0.0011258
   3.1037980        0.9306202        0.0011137
   3.1244851        0.9285515        0.0011016
   3.1453100        0.9254690        0.0010897
   3.1662737        0.9217453        0.0010779
   3.1873772        0.9182623        0.0010663
   3.2086213        0.9151379        0.0010547
   3.2300070        0.9129993        0.0010433
   3.2515352        0.9110000        0.0010321
   3.2732070        0.9110000        0.0010209
   3.2950231        0.9115023        0.0010099
   3.3169847        0.9130000        0.0009989
   3.3390927        0.9149093        0.0009881
   3.3613480        0.9161348        0.0009774
   3.3837516        0.9180000        0.0009669
   3.4063046        0.9190000        0.0009564
   3.4290079        0.9190000        0.0009461
   3.4518625        0.9178137        0.0009358
   3.4748694        0.9155131        0.0009257
   3.4980297        0.9123941        0.0009157
   3.5213443        0.9087311        0.0009058
   3.5448143        0.9050371        0.0008960
   3.5684408        0.9003118        0.0008863
   3.5922247        0.8965551        0.0008767
   3.6161671        0.8927666        0.0008673
   3.6402692        0.8899731        0.0008579
   3.6645318        0.8875468        0.0008486
   3.6889562        0.8861044        0.0008394
   3.7135434        0.8860000        0.0008304
   3.7382944        0.8870000        0.0008214
   3.7632105        0.8883211        0.0008125
   3.7882925        0.8908292        0.0008037
   3.8135418        0.8923542        0.0007997
   3.8389594        0.8948959        0.0007997
   3.8645463        0.8974547        0.0007997
   3.8903038        0.9000000        0.0007997
   3.9162330        0.9016233        0.0007997
   3.9423350        0.9022335        0.0007997
   3.9686109        0.9030000        0.0007997
   3.9950620        0.9030000        0.0007997
   4.0216894        0.9020000        0.0007997
   4.0484943        0.9010000        0.0007997
   4.0754778        0.8994522        0.0007997
   4.1026412        0.8977359        0.0007997
   4.1299856        0.8960015        0.0007997
   4.1575122        0.8950000        0.0007997
   4.1852224        0.8940000        0.0007997
   4.2131172        0.8940000        0.0007997
   4.2411979        0.8940000        0.0007997
   4.2694659        0.8949466        0.0007997
   4.2979222        0.8960000        0.0007997
   4.3265681        0.8976568        0.0007997
   4.3554050        0.9005405        0.0007997
   4.3844342        0.9034434        0.0007997
   4.4136567        0.9063657        0.0007997
   4.4430741        0.9093074        0.0007997
   4.4726875        0.9122688        0.0007997
   4.5024983        0.9162498        0.0007997
   4.5325078        0.9182508        0.0007997
   4.5627173        0.9210000        0.0007997
   4.5931282        0.9230000        0.0007997
   4.6237417        0.9240000        0.0007997
   4.6545593        0.9250000        0.0007997
   4.6855823        0.9250000        0.0007997
   4.7168121        0.9243188        0.0007997
   4.7482500        0.9231750        0.0007997
   4.7798974        0.9220103        0.0007997
   4.8117558        0.9208244        0.0007997
   4.8438265        0.9190000        0.0007997
   4.8761110        0.9170000        0.0007997
   4.9086106        0.9151389        0.0007997
   4.9413269        0.9140000        0.0007997
   4.9742612        0.9125739        0.0007997
   5.0074151        0.9120000        0.0007997
   5.0407899        0.9110000        0.0007997
   5.0743871        0.9110000        0.0007997
   5.1082083        0.9110000        0.0007997
   5.1422549        0.9120000        0.0007997
   5.1765284        0.9126528        0.0007997
   5.2110303        0.9140000        0.0007997
   5.2457623        0.9150000        0.0007997
   5.2807257        0.9170000        0.0008011
   5.3159221        0.9180000        0.0008028
   5.3513531        0.9200000        0.0008045
   5.3870203        0.9210000        0.0008062
   5.4229252        0.9220000        0.0008079
   5.4590694        0.9230000        0.0008096
   5.4954545        0.9240000        0.0008113
   5.5320821        0.9240000        0.0008131
   5.5689539        0.9240000        0.0008148
   5.6060714        0.9240000        0.0008165
   5.6434363        0.9230000        0.0008182
   5.6810502        0.9218950        0.0008199
   5.7189148        0.9200000        0.0008217
   5.7570318        0.9182968        0.0008234
   5.7954029        0.9164597        0.0008251
   5.8340297        0.9140000        0.0008269
   5.8729139        0.9120000        0.0008286
   5.9120574        0.9097943        0.0008304
   5.9514617        0.9078538        0.0008321
   5.9911286        0.9058871        0.0008339
   6.0310599        0.9040000        0.0008357
   6.0712574        0.9028743        0.0008374
   6.1117228        0.9010000        0.0008392
   6.1524579        0.9000000        0.0008410
   6.1934645        0.9000000        0.0008427
   6.2347444        0.8990000        0.0008445
   6.2762995        0.8990000        0.0008463
   6.3181315        0.8998131        0.0008481
   6.3602423        0.9000000        0.0008499
   6.4026338        0.9010000        0.0008517
   6.4453078        0.9020000        0.0008535
   6.4882663        0.9030000        0.0008553
   6.5315111        0.9040000        0.0008571
   6.5750441        0.9055044        0.0008589
   6.6188673        0.9070000        0.0008607
   6.6629825        0.9080000        0.0008625
   6.7073918        0.9097392        0.0008643
   6.7520971        0.9110000        0.0008662
   6.7971003        0.9120000        0.0008680
   6.8424035        0.9130000        0.0008698
   6.8880086        0.9130000        0.0008717
   6.9339177        0.9140000        0.0008735
   6.9801328        0.9140000        0.0008753
   7.0266559        0.9140000        0.0008772
   7.0734891        0.9140000        0.0008790
   7.1206345        0.9140000        0.0008809
   7.1680941        0.9130000        0.0008828
   7.2158699        0.9124130        0.0008846
   7.2639643        0.9120000        0.0008865
   7.3123791        0.9110000        0.0008884
   7.3611167        0.9100000        0.0008902
   7.4101791        0.9090000        0.0008921
   7.4595685        0.9080000        0.0008940
   7.5092871        0.9070000        0.0008959
   7.5593371        0.9070000        0.0008978
   7.6097206        0.9060000        0.0008997
   7.6604400        0.9050000        0.0009016
   7.7114974        0.9050000        0.0009035
   7.7628951        0.9050000        0.0009054
   7.8146354        0.9050000        0.0009073
   7.8667205        0.9050000        0.0009092
   7.9191528        0.9050000        0.0009111
   7.9719346        0.9060000        0.0009131
   8.0250681        0.9070000        0.0009150
   8.0785558        0.9080000        0.0009169
   8.1324000        0.9090000        0.0009189
   8.1866031        0.9106603        0.0009208
   8.2411674        0.9120000        0.0009227
