## Changes:
##     2017-09-17: changed from arcsec to mm, new format
   id    x_cen   y_cen   xhw   yhw  x_len   y_len  pixsize  angle    gain
#           mm      mm    mm    mm  pixel   pixel       mm    deg  e-/ADU
    1        0       0  0.96  0.96    128     128    0.015    0.0     1.0
