#lambda lambda_nm X1.0 X1.1 X1.2 X1.3 X1.5 X1.7 X2.0 X2.5 X3.0
0.315381329 315.381329 0.344906 0.310078 0.278769 0.251056 0.202971 0.164109 0.119776 0.0709839 0.0425076
0.315696868 315.696868 0.338778 0.304023 0.272836 0.245292 0.197604 0.159199 0.115593 0.0679272 0.0403437
0.316012723 316.012723 0.354795 0.319872 0.288388 0.260423 0.211734 0.172161 0.126683 0.0760983 0.0461698
0.31632889399999997 316.328894 0.366261 0.331261 0.299607 0.27137 0.222036 0.181685 0.134903 0.0822671 0.0506404
0.316645381 316.645381 0.376447 0.341409 0.309634 0.28119 0.231333 0.190329 0.142447 0.0880122 0.0548662
0.316962184 316.962184 0.378361 0.343318 0.311523 0.283049 0.233098 0.191976 0.143897 0.0891302 0.0556958
0.317279305 317.279305 0.37679 0.341751 0.309972 0.281523 0.231649 0.190624 0.142708 0.0882252 0.0550304
0.317596743 317.596743 0.373358 0.338328 0.306587 0.278228 0.228523 0.187711 0.140177 0.0862953 0.0536153
0.31791449899999996 317.914499 0.379288 0.344243 0.312439 0.283966 0.23397 0.192789 0.144629 0.0897104 0.0561474
0.318232572 318.232572 0.391182 0.356137 0.324234 0.295545 0.245012 0.203133 0.153746 0.0967734 0.0614284
0.31855096400000005 318.550964 0.406237 0.371243 0.339265 0.310346 0.259223 0.216536 0.165682 0.106175 0.068571
0.318869674 318.869674 0.414037 0.379091 0.347096 0.31808 0.266692 0.22362 0.17204 0.111254 0.0724849
0.31918870299999996 319.188703 0.419414 0.38451 0.352512 0.323442 0.271886 0.228562 0.1765 0.114852 0.0752768
0.31950805200000004 319.508052 0.40535 0.370351 0.338375 0.309493 0.258401 0.215758 0.165008 0.105663 0.0682006
0.31982772 319.82772 0.407536 0.372549 0.340567 0.311651 0.260481 0.217727 0.166768 0.107059 0.069272
0.320147707 320.147707 0.405203 0.370203 0.338228 0.30936 0.258274 0.215637 0.164911 0.105597 0.068163
0.320468015 320.468015 0.42308 0.388209 0.356213 0.327132 0.275468 0.231977 0.179616 0.117398 0.0772872
0.320788643 320.788643 0.435114 0.400372 0.368406 0.339232 0.287257 0.24326 0.189878 0.125779 0.0838853
0.321109593 321.109593 0.446357 0.411766 0.379858 0.350615 0.298407 0.253989 0.199703 0.133896 0.0903471
0.321430863 321.430863 0.447241 0.412664 0.380762 0.351519 0.299295 0.254845 0.200496 0.134562 0.0908871
0.321752454 321.752454 0.448483 0.413924 0.38203 0.352791 0.300545 0.256051 0.201615 0.135503 0.0916498
0.322074368 322.074368 0.428769 0.393954 0.361968 0.332867 0.281047 0.237309 0.184487 0.121394 0.0804488
0.322396603 322.396603 0.437285 0.40257 0.370613 0.341447 0.289423 0.245339 0.191806 0.127396 0.0851941
0.322719161 322.719161 0.43316 0.398395 0.366422 0.337289 0.28536 0.24144 0.188253 0.124481 0.0828918
0.323042042 323.042042 0.448362 0.413801 0.381906 0.352703 0.300458 0.255968 0.201577 0.13551 0.0916888
